ID_produto,preço_unitário,data_última_venda,qtd_total_vendida,valor_total_vendido
cb359682-fbb3-4ddc-977d-45b9fe78ef2f,9.37,"2021-03-14 06:25",81,365.43
4033e1b4-697f-4e1e-8641-cd307b2a1bf2,7.70,"2021-03-14 06:25",43,23.1
19131d63-7c36-4822-8a68-22946977cc63,11.28,"2021-03-14 06:25",28,315.84
b10a06b2-0ece-4253-bf62-2366eeabc24d,0.15,"2017-12-29 06:00",42,6.3
0e5bf126-39cd-44e1-acfc-8bcfd7ce3cf9,0.66,"2022-05-22 01:06",15,2.64
0079f18a-1d6c-480b-be3e-10824bcc88eb,14.26,"2018-06-25 16:13",36,513.36
e2809bfe-8ac7-48ba-a72d-558d5608f1ba,17.29,"2022-06-23 10:13",112,414.96
d2ca943b-2e5c-4e83-b1d1-8dad4bbed31f,17.98,"2022-06-23 10:13",84,593.34
d1bbca88-caa3-44ae-9f4c-82ae7b2ba98d,16.18,"2016-07-18 20:12",15,242.7
47f4b512-769c-437f-a70c-0ae8a3d8af96,19.06,"2020-04-16 06:32",129,152.48
e4ff5f49-8133-45d0-8697-ecd97681e7db,14.77,"2016-07-18 20:12",37,546.49
eb774184-65a3-49b3-b46c-9d18f2c28f5f,1.61,"2019-05-02 05:13",93,14.49
7c8964d6-7289-4892-925e-f353131414a1,10.49,"2021-04-08 06:53",37,388.13
917dc189-19fd-4c35-afdb-0336c6913fff,4.67,"2021-07-03 19:14",53,14.01
4de0c59f-442f-4ebe-b1c8-e71f7353be05,17.38,"2017-07-22 17:06",3,52.14
3416c8f4-be5b-4f7c-852b-5436e4554d86,12.12,"2018-06-23 02:58",43,521.16
